reg;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
01;2021-03-21;6567;2573;376879.0;1.7;0.7
02;2021-03-21;9232;3801;358749.0;2.6;1.1
03;2021-03-21;7491;2547;290691.0;2.6;0.9
04;2021-03-21;29749;14775;859959.0;3.5;1.7
06;2021-03-21;7433;2730;279471.0;2.7;1.0
07;2021-03-21;496;166;9961.0;5.0;1.7
08;2021-03-21;648;302;35334.0;1.8;0.9
11;2021-03-21;958121;329480;12278210.0;7.8;2.7
24;2021-03-21;236523;108952;2559073.0;9.2;4.3
27;2021-03-21;291991;135712;2783039.0;10.5;4.9
28;2021-03-21;337453;137086;3303500.0;10.2;4.1
32;2021-03-21;593068;164406;5962662.0;9.9;2.8
44;2021-03-21;577734;213006;5511747.0;10.5;3.9
52;2021-03-21;324973;138784;3801797.0;8.5;3.7
53;2021-03-21;339884;139907;3340379.0;10.2;4.2
75;2021-03-21;620392;271571;5999982.0;10.3;4.5
76;2021-03-21;567734;255816;5924858.0;9.6;4.3
84;2021-03-21;732006;284663;8032377.0;9.1;3.5
93;2021-03-21;512735;204592;5055651.0;10.1;4.0
94;2021-03-21;44885;19086;344679.0;13.0;5.5
