reg;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
01;2021-03-07;4180;1427;376879.0;1.1;0.4
02;2021-03-07;5573;2975;358749.0;1.6;0.8
03;2021-03-07;4715;1580;290691.0;1.6;0.5
04;2021-03-07;21348;7252;859959.0;2.5;0.8
06;2021-03-07;5948;1650;279471.0;2.1;0.6
07;2021-03-07;313;67;9961.0;3.1;0.7
08;2021-03-07;244;93;35334.0;0.7;0.3
11;2021-03-07;568672;271804;12278210.0;4.6;2.2
24;2021-03-07;162851;82272;2559073.0;6.4;3.2
27;2021-03-07;194620;115193;2783039.0;7.0;4.1
28;2021-03-07;212739;118942;3303500.0;6.4;3.6
32;2021-03-07;329886;126366;5962662.0;5.5;2.1
44;2021-03-07;361832;167579;5511747.0;6.6;3.0
52;2021-03-07;210733;108913;3801797.0;5.5;2.9
53;2021-03-07;222250;106720;3340379.0;6.7;3.2
75;2021-03-07;401943;220853;5999982.0;6.7;3.7
76;2021-03-07;375856;203648;5924858.0;6.3;3.4
84;2021-03-07;460521;218936;8032377.0;5.7;2.7
93;2021-03-07;309035;156319;5055651.0;6.1;3.1
94;2021-03-07;28705;13221;344679.0;8.3;3.8
