reg;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
01;2021-03-17;5869;2255;376879.0;1.6;0.6
02;2021-03-17;8311;3628;358749.0;2.3;1.0
03;2021-03-17;6848;2167;290691.0;2.4;0.7
04;2021-03-17;27851;12577;859959.0;3.2;1.5
06;2021-03-17;7215;2423;279471.0;2.6;0.9
07;2021-03-17;413;127;9961.0;4.1;1.3
08;2021-03-17;555;221;35334.0;1.6;0.6
11;2021-03-17;860781;318572;12278210.0;7.0;2.6
24;2021-03-17;220283;102260;2559073.0;8.6;4.0
27;2021-03-17;269437;132529;2783039.0;9.7;4.8
28;2021-03-17;306945;132970;3303500.0;9.3;4.0
32;2021-03-17;513253;150842;5962662.0;8.6;2.5
44;2021-03-17;523057;201161;5511747.0;9.5;3.6
52;2021-03-17;298246;131410;3801797.0;7.8;3.5
53;2021-03-17;313648;128358;3340379.0;9.4;3.8
75;2021-03-17;569198;258551;5999982.0;9.5;4.3
76;2021-03-17;525461;242567;5924858.0;8.9;4.1
84;2021-03-17;669377;266721;8032377.0;8.3;3.3
93;2021-03-17;463490;190363;5055651.0;9.2;3.8
94;2021-03-17;40430;17396;344679.0;11.7;5.0
